cleaned_text,sentiment_polarity,sentiment_subjectivity,sentiment_label,platform,Theme
amazon,0.0,0.0,neutral,Glassdoor,No Theme
good,0.7,0.6000000000000001,positive,Glassdoor,No Theme
good experience,0.7,0.6000000000000001,positive,Glassdoor,No Theme
dhdh,0.0,0.0,neutral,Glassdoor,No Theme
good pay rate,0.7,0.6000000000000001,positive,Glassdoor,No Theme
worst american sweat shop,-0.5,0.5,negative,Glassdoor,No Theme
warehouse,0.0,0.0,neutral,Glassdoor,Physical Labor Intensity
less than ideal,0.3666666666666667,0.5333333333333333,positive,Glassdoor,No Theme
amazon,0.0,0.0,neutral,Glassdoor,No Theme
keep going keep trying,0.0,0.0,neutral,Glassdoor,No Theme
amazon fulfillment center bdl2,-0.1,0.1,neutral,Glassdoor,No Theme
procons,0.0,0.0,neutral,Glassdoor,No Theme
warehouse associate,0.0,0.0,neutral,Glassdoor,Physical Labor Intensity
not the worst,-1.0,1.0,negative,Glassdoor,No Theme
one full year employment,0.35,0.55,positive,Glassdoor,No Theme
worst experience ever,-1.0,1.0,negative,Glassdoor,No Theme
amazing expirience,0.6000000000000001,0.9,positive,Glassdoor,No Theme
good environment,0.7,0.6000000000000001,positive,Glassdoor,No Theme
good place,0.7,0.6000000000000001,positive,Glassdoor,No Theme
great,0.8,0.75,positive,Glassdoor,No Theme
okay for the most part,0.5,0.5,positive,Glassdoor,No Theme
good company work,0.7,0.6000000000000001,positive,Glassdoor,No Theme
behandlung von mitarbeitern,0.0,0.0,neutral,Glassdoor,No Theme
good benefits and management,0.7,0.6000000000000001,positive,Glassdoor,Inconsistent & Unsupportive Management
its pretty good working amazon,0.475,0.8,positive,Glassdoor,No Theme
avoid working here all cost,0.0,0.0,neutral,Glassdoor,No Theme
,0.0,0.0,neutral,Glassdoor,No Theme
amazon fulfillment center,-0.1,0.1,neutral,Glassdoor,No Theme
fun,0.3,0.2,positive,Glassdoor,No Theme
fulfillment center,-0.1,0.1,neutral,Glassdoor,No Theme
buen trabajo,0.0,0.0,neutral,Glassdoor,No Theme
amazon warehouse associate,0.0,0.0,neutral,Glassdoor,Physical Labor Intensity
hard work but decent pay,-0.0625,0.6041666666666666,neutral,Glassdoor,No Theme
amzn,0.0,0.0,neutral,Glassdoor,No Theme
salary,0.0,0.0,neutral,Glassdoor,No Theme
amazon warehouse,0.0,0.0,neutral,Glassdoor,Physical Labor Intensity
good experience,0.7,0.6000000000000001,positive,Glassdoor,No Theme
good place work seasonally,0.7,0.6000000000000001,positive,Glassdoor,No Theme
inbound receiving,0.0,0.0,neutral,Glassdoor,No Theme
satisfied,0.5,1.0,positive,Glassdoor,No Theme
easy money,0.4333333333333333,0.8333333333333334,positive,Glassdoor,No Theme
good salary and benefits,0.7,0.6000000000000001,positive,Glassdoor,No Theme
muy buena opción trabajo,0.0,0.0,neutral,Glassdoor,No Theme
culture terrible,-1.0,1.0,negative,Glassdoor,Inconsistent & Unsupportive Management
easy work,0.4333333333333333,0.8333333333333334,positive,Glassdoor,No Theme
cool place work,0.35,0.65,positive,Glassdoor,No Theme
not bad,0.3499999999999999,0.6666666666666666,positive,Glassdoor,No Theme
review fulfillment centre thomas,0.0,0.0,neutral,Glassdoor,No Theme
